nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Japón,125800000,377975,Asia
Brasil,213993437,8515767,América
Alemania,83149300,357022,Europa
España,47326687,505992,Europa
Nigeria,206139589,923768,África
Australia,25687041,7692024,Oceanía
Canadá,38067903,9984670,América
India,1380004385,3287263,Asia
Francia,67391582,551695,Europa
Egipto,102334404,1002450,África
México,128932753,1964375,América
China,1439323776,9596961,Asia
Sudáfrica,59308690,1221037,África
Rusia,144104080,17098242,Europa
Estados Unidos,331002651,9833520,América
Indonesia,273523615,1904569,Asia
Reino Unido,67886011,242495,Europa
Nueva Zelanda,4822233,268021,Oceanía
Italia,60461826,301340,Europa
Chipre,4333,222,Ocenia
Papua ginea,4555,12223,Africa
